Model,Class,IoU,Dice,Precision,Recall
no_rock,0,0.814340537265199,0.8976711047780203,0.8171951474497655,0.9957287398872783
no_rock,1,0.09119379075381873,0.16714499574052785,0.8368462462213756,0.0928445087634668
no_rock,2,0.05146450887108798,0.09789110034031144,0.4001475392559806,0.055766886483469676
